time,voice_1
0,0
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,0
0.05,0
0.055,0
0.06,0
0.065,0
0.07,0
0.075,0
0.08,0
0.085,0
0.09,0
0.095,0
0.1,0
0.105,0
0.11,0
0.115,0
0.12,0
0.125,0
0.13,0
0.135,0
0.14,0
0.145,0
0.15,0
0.155,0
0.16,0
0.165,0
0.17,0
0.175,0
0.18,0
0.185,0
0.19,0
0.195,0
0.2,0
0.205,0
0.21,0
0.215,0
0.22,0
0.225,0
0.23,0
0.235,0
0.24,0
0.245,0
0.25,0
0.255,0
0.26,0
0.265,0
0.27,0
0.275,0
0.28,0
0.285,0
0.29,0
0.295,0
0.3,0
0.305,0
0.31,0
0.315,0
0.32,0
0.325,0
0.33,0
0.335,0
0.34,0
0.345,0
0.35,0
0.355,0
0.36,0
0.365,0
0.37,0
0.375,0
0.38,0
0.385,0
0.39,0
0.395,272.420799283037
0.4,282.02769802256
0.405,288.619782976239
0.41,291.973383314485
0.415,297.076988157002
0.42,298.797937642011
0.425,302.26980244078
0.43,302.26980244078
0.435,302.26980244078
0.44,302.26980244078
0.445,302.26980244078
0.45,298.797937642011
0.455,293.664767917408
0.46,288.619782976239
0.465,282.02769802256
0.47,286.957455348424
0.475,277.182630976872
0.48,280.403338010238
0.485,290.291740370037
0.49,291.973383314485
0.495,295.365950611658
0.5,298.797937642011
0.505,295.365950611658
0.51,298.797937642011
0.515,300.528856485967
0.52,300.528856485967
0.525,311.126983722081
0.53,0
0.535,0
0.54,0
0.545,0
0.55,0
0.555,0
0.56,0
0.565,0
0.57,0
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,333.457644632288
0.68,343.228699445884
0.685,331.537069924407
0.69,343.228699445884
0.695,333.457644632288
0.7,335.389345116268
0.705,341.251847603422
0.71,341.251847603422
0.715,343.228699445884
0.72,343.228699445884
0.725,347.216824829002
0.73,347.216824829002
0.735,345.21700307457
0.74,347.216824829002
0.745,347.216824829002
0.75,349.228231433004
0.755,349.228231433004
0.76,349.228231433004
0.765,347.216824829002
0.77,347.216824829002
0.775,345.21700307457
0.78,345.21700307457
0.785,345.21700307457
0.79,343.228699445884
0.795,343.228699445884
0.8,343.228699445884
0.805,343.228699445884
0.81,343.228699445884
0.815,343.228699445884
0.82,343.228699445884
0.825,343.228699445884
0.83,343.228699445884
0.835,343.228699445884
0.84,343.228699445884
0.845,343.228699445884
0.85,343.228699445884
0.855,345.21700307457
0.86,345.21700307457
0.865,345.21700307457
0.87,347.216824829002
0.875,347.216824829002
0.88,345.21700307457
0.885,347.216824829002
0.89,347.216824829002
0.895,347.216824829002
0.9,347.216824829002
0.905,347.216824829002
0.91,347.216824829002
0.915,347.216824829002
0.92,345.21700307457
0.925,345.21700307457
0.93,345.21700307457
0.935,343.228699445884
0.94,343.228699445884
0.945,341.251847603422
0.95,341.251847603422
0.955,339.286381589747
0.96,339.286381589747
0.965,337.332235827312
0.97,337.332235827312
0.975,337.332235827312
0.98,335.389345116268
0.985,335.389345116268
0.99,335.389345116268
0.995,335.389345116268
1,333.457644632288
1.005,331.537069924407
1.01,331.537069924407
1.015,331.537069924407
1.02,329.62755691287
1.025,327.729041886995
1.03,323.964752782116
1.035,312.929324003402
1.04,302.26980244078
1.045,291.973383314485
1.05,282.02769802256
1.055,273.998916918941
1.06,269.291779527024
1.065,260.118712925973
1.07,257.130994683474
1.075,254.1775933119
1.08,245.519371378649
1.085,237.156080269428
1.09,229.077673557657
1.095,221.274447034928
1.1,214.975193055534
1.105,211.282047911221
1.11,210.065152860292
1.115,202.909562588907
1.12,195.997717990875
1.125,189.321316193753
1.13,182.872337151413
1.135,176.643034009943
1.14,178.695527198372
1.145,173.608412414501
1.15,167.694672558134
1.155,161.982376391058
1.16,159.199616118442
1.165,153.776692759692
1.17,154.667512078458
1.175,155.56349186104
1.18,158.28269380119
1.185,152.891004182657
1.19,148.538494078501
1.195,153.776692759692
1.2,159.199616118442
1.205,164.813778456435
1.21,170.625923801711
1.215,173.608412414501
1.22,174.614115716502
1.225,175.625644998463
1.23,177.666316696009
1.235,177.666316696009
1.24,177.666316696009
1.245,177.666316696009
1.25,179.730699856521
1.255,179.730699856521
1.26,179.730699856521
1.265,178.695527198372
1.27,177.666316696009
1.275,176.643034009943
1.28,175.625644998463
1.285,174.614115716502
1.29,173.608412414501
1.295,171.614349722942
1.3,170.625923801711
1.305,169.643190794874
1.31,168.666117913656
1.315,166.728822316144
1.32,165.768534962203
1.325,164.813778456435
1.33,162.920730751522
1.335,161.982376391058
1.34,161.049426554019
1.345,161.049426554019
1.35,160.121850112641
1.355,159.199616118442
1.36,158.28269380119
1.365,158.28269380119
1.37,157.371052567878
1.375,156.464662001701
1.38,154.667512078458
1.385,152.891004182657
1.39,152.010416796455
1.395,149.398968821005
1.4,149.398968821005
1.405,149.398968821005
1.41,149.398968821005
1.415,149.398968821005
1.42,149.398968821005
1.425,149.398968821005
1.43,149.398968821005
1.435,148.538494078501
1.44,149.398968821005
1.445,149.398968821005
1.45,150.264428242984
1.455,151.13490122039
1.46,151.13490122039
1.465,152.010416796455
1.47,152.891004182657
