rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	promL2D_nucldur	hesitation	speaker_id	before_pause	after_pause	pause_dur	onset_dur
0.246	0.24589062500000056	0.3008906250000006	322	330	328	327	100.26	328	328	328	328	100.29	0	0	0	0	0	0	0	32	32	0	0.05500000000000002	0	0	0	0.2459	0	74.1	0	0	1	0	0	0	0
0.391	0.39089062500000055	0.5508906250000006	315	329	324	324	100.1	324	324	324	324	100.12	0	0	-0.17	0	0	0	0	31	31	0	0.1600000000000001	0	0	0	0.09	0	74.7	0	0	1	0	0	0	0
0.656	0.6558906250000005	0.6908906250000005	731	750	742	741	114.42	742	742	742	742	114.45	0	0	14.37	0	0	0	0	100	100	0	0.03500000000000003	0	0	0	0.105	0	59.4	0	0	1	0	0	0	0
0.821	0.8208906250000005	1.1558906249999974	368	389	384	382	102.97	384	384	384	384	103.03	0	0	-11.4	0	0	0	1	45	45	0	0.33499999999999686	0	0	0	0.13	0	77.3	0	0	1	0	0	0	0
1.281	1.2808906250000005	1.9308906249999866	226	268	253	252	95.79	263	258	226	266	96.72	-1	-2.92	-6.52	0	-2.92	2.92	0	13	12	-14	0.6499999999999861	0	0	0	0.125	0	79.7	0	0	1	1	0	0.685	0
2.616	2.6158906250000005	2.7108906249999984	292	317	306	306	99.11	306	306	306	306	99.14	0	0	3	0	0	0	0	26	26	0	0.09499999999999797	0	0	0	0.685	0	77.3	0	0	1	0	1	0	0
2.936	2.9358906250000003	3.175890624999995	260	268	262	263	96.49	262	262	262	262	96.45	0	0	-2.64	0	0	0	0	13	13	0	0.23999999999999488	0	0	0	0.225	0	76.1	0	0	1	0	0	0	0
3.316	3.3158906250000006	3.4108906249999986	279	287	283	283	97.77	283	283	283	283	97.75	0	0	1.35	0	0	0	0	19	19	0	0.09499999999999797	0	0	0	0.14	0	73.8	0	0	1	0	0	0	0
3.481	3.4808906250000002	3.540890624999999	285	291	288	288	98.09	288	288	288	288	98.09	0	0	0.36	0	0	0	0	21	21	0	0.05999999999999872	0	0	0	0.07	0	77.6	0	0	1	0	0	0	0
3.646	3.6458906250000003	3.980890624999993	270	294	285	283	97.78	289	292	289	292	98.33	1	0.21	0.08	0.21	0	0.21	0	21	22	0	0.33499999999999286	0	0	0	0.105	0	77	0	0	1	0	0	0	0
4.126	4.125890625000001	4.215890624999999	285	313	302	301	98.84	302	302	302	302	98.86	0	0	0.58	0	0	0	0	25	25	0	0.08999999999999808	0	0	0	0.145	0	66.6	0	0	1	1	0	0.585	0
4.801	4.800890625000001	4.865890625	318	325	322	321	99.96	322	322	322	322	99.97	0	0	1.11	0	0	0	0	30	30	0	0.06499999999999861	0	0	0	0.585	0	78.5	0	0	1	0	1	0	0
4.941	4.940890625000001	5.070890624999998	312	326	316	317	99.75	316	316	316	316	99.68	0	0	-0.29	0	0	0	0	29	29	0	0.12999999999999723	0	0	0	0.075	0	69.7	0	0	1	0	0	0	0
5.201	5.200890625000001	5.350890624999998	241	254	249	248	95.49	249	249	249	249	95.54	0	0	-4.11	0	0	0	0	9	9	0	0.1499999999999968	0	0	0	0.13	0	78.7	0	0	1	0	0	0	0
5.491	5.490890625000001	5.600890624999999	276	336	329	321	99.95	336	283	283	336	100.71	-1	-2.97	5.19	0	-2.97	2.97	0	34	19	-15	0.10999999999999766	0	0	0	0.14	0	67.3	0	0	1	0	0	0	0
5.921	5.920890625000001	6.000890624999999	375	387	381	381	102.92	381	381	381	381	102.91	0	0	5.17	0	0	0	0	44	44	0	0.0799999999999983	0	0	0	0.32	0	76.6	0	0	1	0	0	0	0
6.051	6.050890625000001	6.3058906249999955	371	394	379	381	102.93	379	379	379	379	102.84	0	0	-0.05	0	0	0	0	44	44	0	0.25499999999999456	0	0	0	0.05	0	78.6	0	0	1	0	0	0	0
6.581	6.580890625000001	6.750890624999998	366	386	384	382	102.95	384	384	384	384	103.04	0	0	0.25	0	0	0	0	45	45	0	0.16999999999999638	0	0	0	0.275	0	74	0	0	1	0	0	0	0
6.831	6.830890625000001	6.920890624999999	218	262	245	243	95.12	245	245	245	245	95.26	0	0	-7.76	0	0	0	0	7	7	0	0.08999999999999808	0	0	0	0.08	0	70	0	0	1	0	0	0	0
7.111	7.110890625000001	7.270890624999997	243	265	254	253	95.86	254	254	254	254	95.93	0	0	0.69	0	0	0	0	10	10	0	0.1599999999999966	0	0	0	0.19	0	71.5	0	0	1	0	0	0	0
7.436	7.435890625000001	7.510890624999999	278	301	293	291	98.25	293	293	293	293	98.34	0	0	2.47	0	0	0	0	22	22	0	0.0749999999999984	0	0	0	0.165	0	61.2	0	0	1	0	0	0	0
7.771	7.770890625000001	7.865890624999999	266	286	285	282	97.73	285	285	285	285	97.89	0	0	-0.45	0	0	0	0	20	20	0	0.09499999999999797	0	0	0	0.26	0	69.9	0	0	1	1	0	0.365	0
8.231	8.230890625	8.375890625000023	251	268	253	256	96.03	253	253	253	253	95.85	0	0	-2.01	0	0	0	0	10	10	0	0.14500000000002267	0	0	0	0.365	0	80	0	0	1	0	1	0	0
8.411	8.410890625	8.675890625000042	230	279	245	250	95.62	239	244	239	278	97.49	1	0.58	-0.98	2.9	-2.32	5.21	0	5	7	12	0.2650000000000414	0	0	0	0.035	0	80.4	0	0	1	1	0	0.545	0
9.221	9.220890625000001	9.310890625000015	249	261	251	253	95.82	251	251	251	251	95.72	0	0	0.55	0	0	0	0	9	9	0	0.09000000000001407	0	0	0	0.545	0	74.3	0	0	1	0	1	0	0
9.516	9.515890625	9.64089062500002	252	261	256	257	96.09	256	256	256	256	96.07	0	0	0.41	0	0	0	0	11	11	0	0.12500000000001954	0	0	0	0.205	0	76.7	0	0	1	0	0	0	0
9.741	9.740890625	9.87089062500002	311	321	316	316	99.69	316	316	316	316	99.69	0	0	3.69	0	0	0	0	29	29	0	0.13000000000002032	0	0	0	0.1	0	80	0	0	1	0	0	0	0
10.006	10.005890625000001	10.110890625000017	309	324	322	321	99.95	322	322	322	322	99.99	0	0	0.34	0	0	0	0	30	30	0	0.10500000000001641	0	0	0	0.135	0	74.7	0	0	1	1	0	0.076	0
