time,voice_1
0,0
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,0
0.05,0
0.055,0
0.06,0
0.065,0
0.07,0
0.075,0
0.08,0
0.085,0
0.09,0
0.095,0
0.1,0
0.105,0
0.11,0
0.115,0
0.12,0
0.125,0
0.13,0
0.135,0
0.14,0
0.145,0
0.15,0
0.155,0
0.16,0
0.165,0
0.17,0
0.175,0
0.18,0
0.185,0
0.19,0
0.195,0
0.2,0
0.205,0
0.21,0
0.215,0
0.22,0
0.225,0
0.23,0
0.235,0
0.24,0
0.245,0
0.25,0
0.255,0
0.26,0
0.265,0
0.27,0
0.275,0
0.28,0
0.285,0
0.29,0
0.295,0
0.3,0
0.305,0
0.31,0
0.315,0
0.32,0
0.325,0
0.33,0
0.335,0
0.34,0
0.345,0
0.35,0
0.355,0
0.36,0
0.365,0
0.37,0
0.375,0
0.38,0
0.385,0
0.39,0
0.395,0
0.4,0
0.405,0
0.41,0
0.415,0
0.42,0
0.425,0
0.43,0
0.435,0
0.44,0
0.445,0
0.45,0
0.455,0
0.46,0
0.465,0
0.47,0
0.475,0
0.48,0
0.485,0
0.49,0
0.495,0
0.5,0
0.505,0
0.51,0
0.515,0
0.52,0
0.525,0
0.53,207.652348789973
0.535,214.975193055534
0.54,220
0.545,217.473084477637
0.55,222.556276866423
0.555,230.404707020538
0.56,238.529911466312
0.565,246.941650628062
0.57,255.650029130725
0.575,264.665507938066
0.58,273.998916918941
0.585,283.661467856707
0.59,291.973383314485
0.595,302.26980244078
0.6,312.929324003402
0.605,323.964752782116
0.61,335.389345116268
0.615,337.332235827312
0.62,325.841461503044
0.625,314.742105135757
0.63,304.020833592911
0.635,293.664767917408
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,286.957455348424
0.745,277.182630976872
0.75,269.291779527024
0.755,269.291779527024
0.76,264.665507938066
0.765,263.141146782229
0.77,258.620539382394
0.775,255.650029130725
0.78,252.713638099348
0.785,248.372169057349
0.79,245.519371378649
0.795,241.301495532818
0.8,238.529911466312
0.805,237.156080269428
0.81,234.432110358267
0.815,233.081880759045
0.82,230.404707020538
0.825,227.758283245103
0.83,225.142256239291
0.835,223.845532262591
0.84,222.556276866423
0.845,221.274447034928
0.85,217.473084477637
0.855,212.505992363466
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,286.957455348424
0.985,277.182630976872
0.99,267.74077300753
0.995,258.620539382394
1,252.713638099348
1.005,252.713638099348
1.01,251.25811464837
1.015,251.25811464837
1.02,252.713638099348
1.025,257.130994683474
1.03,261.625565300599
1.035,267.74077300753
1.04,273.998916918941
1.045,282.02769802256
1.05,290.291740370037
1.055,300.528856485967
1.06,307.553385519384
1.065,316.56538760238
1.07,322.098853108038
1.075,333.457644632288
1.08,339.286381589747
1.085,339.286381589747
1.09,347.216824829002
1.095,0
1.1,0
1.105,0
1.11,0
1.115,0
1.12,0
1.125,355.332633392018
1.13,353.286068019886
1.135,351.251289996926
1.14,339.286381589747
1.145,327.729041886995
1.15,316.56538760238
1.155,305.782008365314
1.16,295.365950611658
1.165,285.304702023222
1.17,275.586176497308
1.175,266.198699628244
1.18,257.130994683474
1.185,248.372169057349
1.19,239.911701186357
1.195,0
1.2,0
1.205,0
1.21,0
1.215,0
1.22,0
1.225,0
1.23,0
1.235,221.274447034928
1.24,220
1.245,222.556276866423
1.25,222.556276866423
1.255,222.556276866423
1.26,223.845532262591
1.265,225.142256239291
1.27,225.142256239291
1.275,227.758283245103
1.28,227.758283245103
1.285,230.404707020538
1.29,231.739427910064
1.295,231.739427910064
1.3,231.739427910064
1.305,231.739427910064
1.31,231.739427910064
1.315,233.081880759045
1.32,234.432110358267
1.325,234.432110358267
1.33,234.432110358267
1.335,233.081880759045
1.34,231.739427910064
1.345,229.077673557657
1.35,227.758283245103
1.355,220
1.36,0
1.365,0
1.37,0
1.375,0
1.38,0
1.385,0
1.39,0
1.395,0
1.4,0
1.405,0
1.41,0
1.415,0
1.42,0
1.425,0
1.43,0
1.435,0
1.44,0
1.445,295.365950611658
1.45,272.420799283037
1.455,263.141146782229
1.46,254.1775933119
1.465,245.519371378649
1.47,237.156080269428
1.475,229.077673557657
1.48,221.274447034928
1.485,0
1.49,0
1.495,0
1.5,0
1.505,0
1.51,0
1.515,0
1.52,0
1.525,0
1.53,0
1.535,0
1.54,0
1.545,0
1.55,0
1.555,254.1775933119
1.56,263.141146782229
1.565,272.420799283037
1.57,278.788333623154
1.575,283.661467856707
1.58,286.957455348424
1.585,288.619782976239
1.59,288.619782976239
1.595,285.304702023222
1.6,280.403338010238
1.605,278.788333623154
1.61,275.586176497308
1.615,266.198699628244
1.62,257.130994683474
1.625,248.372169057349
1.63,239.911701186357
1.635,231.739427910064
1.64,0
1.645,0
1.65,0
1.655,0
1.66,0
1.665,0
1.67,0
1.675,0
1.68,0
1.685,0
1.69,0
1.695,0
1.7,0
1.705,0
