time,voice_1
0,0
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,0
0.05,0
0.055,0
0.06,0
0.065,0
0.07,0
0.075,0
0.08,0
0.085,0
0.09,0
0.095,0
0.1,0
0.105,0
0.11,0
0.115,0
0.12,0
0.125,0
0.13,0
0.135,0
0.14,0
0.145,0
0.15,0
0.155,0
0.16,0
0.165,0
0.17,0
0.175,0
0.18,0
0.185,0
0.19,0
0.195,0
0.2,0
0.205,0
0.21,0
0.215,0
0.22,0
0.225,0
0.23,0
0.235,0
0.24,0
0.245,0
0.25,0
0.255,0
0.26,0
0.265,0
0.27,0
0.275,0
0.28,0
0.285,0
0.29,0
0.295,0
0.3,0
0.305,0
0.31,0
0.315,0
0.32,0
0.325,0
0.33,0
0.335,0
0.34,0
0.345,0
0.35,0
0.355,0
0.36,0
0.365,0
0.37,0
0.375,0
0.38,0
0.385,0
0.39,0
0.395,0
0.4,0
0.405,0
0.41,0
0.415,0
0.42,0
0.425,0
0.43,0
0.435,0
0.44,0
0.445,0
0.45,0
0.455,0
0.46,0
0.465,0
0.47,0
0.475,0
0.48,0
0.485,0
0.49,0
0.495,0
0.5,0
0.505,0
0.51,0
0.515,0
0.52,0
0.525,0
0.53,0
0.535,0
0.54,0
0.545,0
0.55,0
0.555,0
0.56,0
0.565,0
0.57,0
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
1.005,0
1.01,0
1.015,0
1.02,0
1.025,0
1.03,0
1.035,0
1.04,0
1.045,0
1.05,0
1.055,0
1.06,0
1.065,0
1.07,0
1.075,0
1.08,0
1.085,0
1.09,0
1.095,0
1.1,0
1.105,0
1.11,0
1.115,0
1.12,0
1.125,0
1.13,0
1.135,0
1.14,0
1.145,0
1.15,0
1.155,0
1.16,0
1.165,0
1.17,0
1.175,0
1.18,0
1.185,0
1.19,0
1.195,0
1.2,0
1.205,0
1.21,0
1.215,0
1.22,0
1.225,0
1.23,0
1.235,0
1.24,0
1.245,0
1.25,0
1.255,0
1.26,0
1.265,0
1.27,0
1.275,0
1.28,0
1.285,0
1.29,0
1.295,0
1.3,0
1.305,0
1.31,0
1.315,0
1.32,0
1.325,0
1.33,0
1.335,0
1.34,0
1.345,0
1.35,0
1.355,0
1.36,0
1.365,0
1.37,0
1.375,0
1.38,0
1.385,0
1.39,0
1.395,0
1.4,0
1.405,1661.21879031978
1.41,1661.21879031978
1.415,1670.84213287291
1.42,1680.52122288233
1.425,1690.25638328977
1.43,1700.04793890773
1.435,1700.04793890773
1.44,1700.04793890773
1.445,1709.89621643035
1.45,1719.80154444427
1.455,1729.76425343964
1.46,1729.76425343964
1.465,1739.7846758211
1.47,1739.7846758211
1.475,1739.7846758211
1.48,1739.7846758211
1.485,1729.76425343964
1.49,1729.76425343964
1.495,1729.76425343964
1.5,1729.76425343964
1.505,1719.80154444427
1.51,1719.80154444427
1.515,1719.80154444427
1.52,1719.80154444427
1.525,1719.80154444427
1.53,1719.80154444427
1.535,1719.80154444427
1.54,1729.76425343964
1.545,1729.76425343964
1.55,1739.7846758211
1.555,1749.86314591888
1.56,1760
1.565,1770.19557627942
1.57,1770.19557627942
1.575,1770.19557627942
1.58,1780.45021493138
1.585,1790.76425810073
1.59,1801.13804991432
1.595,1811.57193649255
1.6,1822.06626596082
1.605,1822.06626596082
1.61,1822.06626596082
1.615,1832.62138846126
1.62,1843.2376561643
1.625,1853.91542328051
1.63,1853.91542328051
1.635,1864.65504607236
1.64,1875.45688286613
1.645,1886.32129406388
1.65,1886.32129406388
1.655,1886.32129406388
1.66,1897.24864215542
1.665,1908.2392917305
1.67,1919.29360949085
1.675,1919.29360949085
1.68,1930.41196426254
1.685,1930.41196426254
1.69,1930.41196426254
1.695,1930.41196426254
1.7,1930.41196426254
1.705,1941.59472700819
1.71,1952.84227083941
1.715,1964.15497102919
1.72,1952.84227083941
1.725,1941.59472700819
1.73,1941.59472700819
1.735,1930.41196426254
1.74,1930.41196426254
1.745,1941.59472700819
1.75,1941.59472700819
1.755,1930.41196426254
1.76,1930.41196426254
1.765,1930.41196426254
1.77,1919.29360949085
1.775,0
1.78,0
1.785,0
1.79,0
1.795,0
1.8,0
1.805,0
1.81,0
1.815,0
1.82,0
1.825,0
1.83,0
1.835,0
1.84,0
1.845,0
1.85,0
1.855,0
1.86,0
1.865,0
1.87,2021.70910479478
