feature,lang,diff,stderr,method
IOI,English,0.803492063492063,0.027751074620275,common language effect size
Onset-break interval,English,0.933333333333333,0.0447790599008056,common language effect size
IOI ratio deviation,English,0.600109649122807,0.0346702202247422,common language effect size
Interval deviation,English,0.877311983530752,0.00588883645832539,common language effect size
Interval range,English,0.604714870452881,0.00904564505648744,common language effect size
Pitch range,English,0.972222222222222,0.0298264162329533,common language effect size
Energy,English,0.958114593124107,0.00221298666055738,common language effect size
IOI,Marathi,0.893241167434716,0.0318344930069587,common language effect size
Onset-break interval,Marathi,0.25,0.182574185835055,common language effect size
IOI ratio deviation,Marathi,0.538011695906433,0.0715952426317333,common language effect size
Interval deviation,Marathi,0.900978911338027,0.00522572221234441,common language effect size
Interval range,Marathi,0.525668144226074,0.00932863063561188,common language effect size
Pitch range,Marathi,0.833333333333333,0.166666666666667,common language effect size
Energy,Marathi,0.935474483143975,0.00562141023681721,common language effect size
IOI,Farsi,0.915548281505728,0.0214342293931466,common language effect size
Onset-break interval,Farsi,0.722222222222222,0.194047213295255,common language effect size
IOI ratio deviation,Farsi,0.680104817577101,0.0450741678799371,common language effect size
Interval deviation,Farsi,0.900327445228809,0.0053240810520947,common language effect size
Interval range,Farsi,0.66286301612854,0.008935169344129,common language effect size
Pitch range,Farsi,1,0,common language effect size
Energy,Farsi,0.391525507285937,0.00859991889871205,common language effect size
IOI,Japanese,0.929441554886395,0.0161704265977696,common language effect size
Onset-break interval,Japanese,0.729166666666667,0.27290871489688,common language effect size
IOI ratio deviation,Japanese,0.800240867121638,0.0282190054309688,common language effect size
Interval deviation,Japanese,0.797781766994591,0.00699080992490053,common language effect size
Interval range,Japanese,0.487185478210449,0.00967402354958386,common language effect size
Pitch range,Japanese,0.666666666666667,0.333333333333333,common language effect size
Energy,Japanese,0.66465977369918,0.00749554283564789,common language effect size
IOI,Yoruba,0.987179487179487,0.0109726842321522,common language effect size
Onset-break interval,Yoruba,1,0,common language effect size
IOI ratio deviation,Yoruba,0.360537190082645,0.0624827733767462,common language effect size
Interval deviation,Yoruba,0.907013830850806,0.00489710317924619,common language effect size
Interval range,Yoruba,0.488814473152161,0.00923294810241891,common language effect size
Pitch range,Yoruba,1,0,common language effect size
Energy,Yoruba,0.875769762850082,0.00523547896216599,common language effect size
