feature,lang,diff,stderr,method
IOI,English,0.835691169671752,0.0229362140528597,common language effect size
Onset-break interval,English,0.858585858585859,0.068414141721187,common language effect size
IOI ratio deviation,English,0.802770146520147,0.0253926842935559,common language effect size
Interval deviation,English,0.748843835292433,0.00783429387956858,common language effect size
Interval range,English,0.588856220245361,0.00895401168109372,common language effect size
Pitch range,English,0.914141414141414,0.0513535381584624,common language effect size
IOI,Marathi,0.930619559651818,0.024988267021091,common language effect size
Onset-break interval,Marathi,0.75,0.215165741455968,common language effect size
IOI ratio deviation,Marathi,0.32280701754386,0.0664604822856287,common language effect size
Interval deviation,Marathi,0.60956747337334,0.0089534092694521,common language effect size
Interval range,Marathi,0.578017830848694,0.00901830736298951,common language effect size
Pitch range,Marathi,1,0,common language effect size
IOI,Farsi,0.931587561374795,0.018736525534,common language effect size
Onset-break interval,Farsi,0.516666666666667,0.217306746840088,common language effect size
IOI ratio deviation,Farsi,0.659634623749456,0.0474047551120208,common language effect size
Interval deviation,Farsi,0.691586831243418,0.00844035297632217,common language effect size
Interval range,Farsi,0.524337410926819,0.00911306562422963,common language effect size
Pitch range,Farsi,0.966666666666667,0.0471404520791032,common language effect size
IOI,Japanese,0.939435261249875,0.0111380370395631,common language effect size
Onset-break interval,Japanese,0.659090909090909,0.11878488323372,common language effect size
IOI ratio deviation,Japanese,0.792610062893082,0.0232152872587132,common language effect size
Interval deviation,Japanese,0.54145358335109,0.00934657827019691,common language effect size
Interval range,Japanese,0.651267290115356,0.00862410260903806,common language effect size
Pitch range,Japanese,0.903409090909091,0.0677384574860509,common language effect size
IOI,Yoruba,0.830662393162393,0.0485445316707494,common language effect size
Onset-break interval,Yoruba,1,0,common language effect size
IOI ratio deviation,Yoruba,0.830492424242424,0.048555168667211,common language effect size
Interval deviation,Yoruba,0.752032495726237,0.00772329000756145,common language effect size
Interval range,Yoruba,0.526851177215576,0.00906332976909958,common language effect size
Pitch range,Yoruba,0.642857142857143,0.225876975726313,common language effect size
