npvi,type,lang,groupid
63.1072277289422,recit,English,1
37.9833201710156,song,English,1
40.1832754032314,recit,Fante,69
55.9093148552663,song,Fante,69
50.9316565062502,recit,Macedonian,2
64.1685589605899,song,Macedonian,2
42.7740360439107,recit,Italian,3
45.4712542919401,song,Italian,3
25.2683635577331,recit,Guarani,61
56.4223589056631,song,Guarani,61
48.2331722586077,recit,Portuguese,4
31.7575255226849,song,Portuguese,4
52.627593834003,recit,English,5
14.5140464834614,song,English,5
58.2615804055871,recit,Ronga,6
40.729567479875,song,Ronga,6
59.8816898507546,recit,Swedish,7
65.7901474762843,song,Swedish,7
61.8960505358755,recit,Cherokee,75
71.293970678436,song,Cherokee,75
35.496667349107,recit,Hindi,8
38.7735162692715,song,Hindi,8
56.1433561698304,recit,Bulgarian,9
39.502920728466,song,Bulgarian,9
28.7598395134853,recit,Greek,10
40.4889490000022,song,Greek,10
60.3678744911795,recit,Mandarin,11
32.4412831144398,song,Mandarin,11
48.5610332340191,recit,German,12
33.7529361319865,song,German,12
42.0649809477176,recit,Yoruba,13
41.47925279701,song,Yoruba,13
51.1308668736994,recit,Japanese,14
50.8189879058326,song,Japanese,14
51.1354080636897,recit,Thai,15
82.8995751837465,song,Thai,15
41.8707610245349,recit,Spanish,16
54.7284866993984,song,Spanish,16
56.4004700064718,recit,Balinese,17
62.5358113258679,song,Balinese,17
36.1890869591283,recit,Tunisian,73
43.1599829365091,song,Tunisian,73
63.3362502856257,recit,Ngarigu,71
28.6599509067553,song,Ngarigu,71
66.8750133229762,recit,Chilean,18
67.3178858790037,song,Chilean,18
55.170713650792,recit,Twi,68
22.3051944498256,song,Twi,68
51.8689971120397,recit,English,19
44.4390849984006,song,English,19
43.668416519205,recit,Spanish,62
35.5555949183834,song,Spanish,62
38.8456687658693,recit,Dutch,63
50.8579151784946,song,Dutch,63
43.314316368545,recit,Wolof,20
38.7284117328066,song,Wolof,20
55.9911210215686,recit,Hebrew,21
47.0277714548891,song,Hebrew,21
37.7780603149163,recit,Catalan,22
42.6614716485842,song,Catalan,22
37.6026859364971,recit,Portuguese,23
48.993549762162,song,Portuguese,23
37.8549822075935,recit,Amamidialect,24
83.3371485532659,song,Amamidialect,24
40.149033139121,recit,Swahili,25
48.4905984818665,song,Swahili,25
48.7951299185025,recit,Dutch,26
61.0731593816998,song,Dutch,26
50.055596125107,recit,Spanish,27
45.3276295840749,song,Spanish,27
32.7038152926367,recit,Punjabi,28
35.4970168577045,song,Punjabi,28
38.6978581314959,recit,HainanHua,29
43.4657660805575,song,HainanHua,29
69.9244570164966,recit,Williche,30
55.670220863078,song,Williche,30
56.3898391757676,recit,Euskara,31
75.6481672942375,song,Euskara,31
28.0226887969798,recit,Danish,32
46.3405167655583,song,Danish,32
47.928287658631,recit,Hebrew,33
53.1961186381154,song,Hebrew,33
88.8647163609625,recit,IsiXhosa,34
81.2972033460447,song,IsiXhosa,34
37.1144272180912,recit,Turkish,35
75.8323857977546,song,Turkish,35
37.0018342480507,recit,Ukrainian,36
36.5315329799714,song,Ukrainian,36
35.7405570966264,recit,Marathi,37
36.8502339884653,song,Marathi,37
50.595846295346,recit,Dholuo,72
50.1144088796039,song,Dholuo,72
62.2229853346406,recit,English,38
63.8105092966453,song,English,38
47.6498111089571,recit,French,39
38.7926989951041,song,French,39
44.9982575835392,recit,English,40
44.7848331851635,song,English,40
48.5252106230637,recit,Azerbaijani,41
40.5178507809478,song,Azerbaijani,41
42.6910950506044,recit,Russian,42
62.4331906762004,song,Russian,42
50.5858730952241,song,Cantonese,64
24.5517247317529,recit,Cantonese,64
18.9914413576371,song,Te Reo Māori,74
41.419743350651,recit,Te Reo Māori,74
65.9704572627767,song,Rikbaktsa,66
76.4157143145069,recit,Rikbaktsa,66
32.9952098795921,recit,Urdu,43
25.8213033999063,song,Urdu,43
25.5600634981312,recit,Lithuanian,44
50.196405958554,song,Lithuanian,44
56.7685967375425,recit,Korean,45
66.957318701121,song,Korean,45
40.8736643940921,recit,Farsi,46
25.4033924808573,song,Farsi,46
44.0918600264154,recit,Persian,47
51.5235795545302,song,Persian,47
42.6590882446489,recit,Kannada,48
49.6576859622335,song,Kannada,48
53.2024047597601,recit,Japanese,49
52.0809330301067,song,Japanese,49
50.5115990625208,song,Burmese,65
27.1467126271346,recit,Burmese,65
36.2982424476048,recit,Te Reo Māori,70
50.365668387625,song,Te Reo Māori,70
32.3926216321229,song,Gaeilge,67
52.4478646815998,recit,Gaeilge,67
49.7414121740811,recit,English,50
53.2769623014903,song,English,50
41.8086257580608,recit,Georgian,51
33.5902460731505,song,Georgian,51
40.7245404528186,recit,Puri,52
56.3921321614798,song,Puri,52
48.3690232226592,recit,Norwegian,53
54.0741874039641,song,Norwegian,53
55.354891405808,recit,Kuikuro,54
35.3665820917563,song,Kuikuro,54
48.1459177094219,recit,Ainu,55
29.0068976651711,song,Ainu,55
45.7463804823221,recit,Slovenian,56
38.7180820367105,song,Slovenian,56
48.4951459142222,recit,Portuguese,57
51.1644748556814,song,Portuguese,57
56.9495472376957,recit,Polish,58
21.235782310758,song,Polish,58
49.6152614329145,recit,DutchFlemish,59
36.5344398293935,song,DutchFlemish,59
55.7634356330624,recit,Japanese,60
49.5872723515046,song,Japanese,60
