feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
f0,English,0.95940480784119,0.00391873557832695,0.951720520437716,0.967089095244664,common language effect size,1
-|Δf0|,English,0.752769878857738,0.00954584935826473,0.734051428136416,0.77148832957906,common language effect size,1
Spectral centroid,English,0.344865414914725,0.00598122112536036,0.333140658765718,0.356590171063732,common language effect size,1
f0,Macedonian,0.921021958940316,0.00542725368095302,0.910377616944609,0.931666300936023,common language effect size,2
-|Δf0|,Macedonian,0.682339111193067,0.0110561705492555,0.66065760928559,0.704020613100543,common language effect size,2
Spectral centroid,Macedonian,0.589582879322682,0.00691344922909032,0.576029670022814,0.60313608862255,common language effect size,2
f0,Italian,0.555552335474935,0.011043849147059,0.533895539159067,0.577209131790802,common language effect size,3
-|Δf0|,Italian,0.628430933976953,0.010534462253027,0.607774167100979,0.649087700852927,common language effect size,3
Spectral centroid,Italian,0.500227845780832,0.00603951676669196,0.488388955403212,0.512066736158452,common language effect size,3
f0,Portuguese,0.975160769240742,0.00205154702064058,0.971138437590408,0.979183100891077,common language effect size,4
-|Δf0|,Portuguese,0.635999403597978,0.00912496091494188,0.618107994784933,0.653890812411023,common language effect size,4
Spectral centroid,Portuguese,0.598518396644711,0.00557899349798617,0.587582071709916,0.609454721579505,common language effect size,4
f0,English,0.915077418421243,0.00575009256955533,0.903798317422811,0.926356519419675,common language effect size,5
-|Δf0|,English,0.817791042616309,0.00735683142975109,0.803365997067363,0.832216088165254,common language effect size,5
Spectral centroid,English,0.49740912936047,0.00583957788527305,0.485961993077426,0.508856265643514,common language effect size,5
f0,Ronga,0.884623346733729,0.00478593489667489,0.875240721243992,0.894005972223465,common language effect size,6
-|Δf0|,Ronga,0.546774290470096,0.00795372959873351,0.531181432499916,0.562367148440275,common language effect size,6
Spectral centroid,Ronga,0.529914039928669,0.00449399231984691,0.521105279538554,0.538722800318784,common language effect size,6
f0,Swedish,0.942813650608296,0.0060280468756264,0.930988910543208,0.954638390673384,common language effect size,7
-|Δf0|,Swedish,0.65769663858537,0.0131774871769466,0.631849766502175,0.683543510668565,common language effect size,7
Spectral centroid,Swedish,0.501212391174615,0.00627487306988616,0.488912083385116,0.513512698964113,common language effect size,7
f0,Hindi,0.965004301022034,0.00503957819434201,0.955116978022678,0.974891624021391,common language effect size,8
-|Δf0|,Hindi,0.604325311978811,0.0118948841850929,0.580998616444398,0.627652007513223,common language effect size,8
Spectral centroid,Hindi,0.541807854237889,0.00672568261144983,0.528623459403452,0.554992249072325,common language effect size,8
f0,Bulgarian,0.867161808125041,0.00991200285020221,0.847705900988531,0.88661771526155,common language effect size,9
-|Δf0|,Bulgarian,0.566551332741233,0.0134323251003694,0.540196099022434,0.592906566460031,common language effect size,9
Spectral centroid,Bulgarian,0.47832876207421,0.00669528050849346,0.465203383684059,0.491454140464362,common language effect size,9
f0,Greek,0.921143359408301,0.00577244259312408,0.909821864186695,0.932464854629907,common language effect size,10
-|Δf0|,Greek,0.605028029855397,0.01124108833426,0.582981392332423,0.627074667378371,common language effect size,10
Spectral centroid,Greek,0.385200672661103,0.00579748544300318,0.373836102821706,0.3965652425005,common language effect size,10
f0,Mandarin,0.916153136027715,0.00420105896456919,0.907916143813813,0.924390128241616,common language effect size,11
-|Δf0|,Mandarin,0.733557258500802,0.00798319554883731,0.717905397498591,0.749209119503012,common language effect size,11
Spectral centroid,Mandarin,0.527798252156054,0.0050207725623016,0.517956809167932,0.537639695144176,common language effect size,11
f0,German,0.984993689889552,0.00153930278999521,0.981975472773714,0.98801190700539,common language effect size,12
-|Δf0|,German,0.555068935508153,0.00928426487028376,0.536865521227768,0.573272349788538,common language effect size,12
Spectral centroid,German,0.463217246165981,0.0046088660521461,0.454183248075344,0.472251244256618,common language effect size,12
f0,Yoruba,0.629962204321854,0.0135951887831215,0.603296325246094,0.656628083397613,common language effect size,13
-|Δf0|,Yoruba,0.518581353523488,0.0146726688711697,0.489797038196676,0.5473656688503,common language effect size,13
Spectral centroid,Yoruba,0.543718093470997,0.00840198457038505,0.527245647652822,0.560190539289173,common language effect size,13
f0,Japanese,0.787390901367112,0.00963478256890022,0.768495462228896,0.806286340505328,common language effect size,14
-|Δf0|,Japanese,0.590126780611063,0.0138153100102554,0.563018030444969,0.617235530777156,common language effect size,14
Spectral centroid,Japanese,0.679492501572153,0.0073062814327315,0.665167956280277,0.693817046864028,common language effect size,14
f0,Thai,0.97419113040443,0.00207548550607584,0.970121466720229,0.978260794088631,common language effect size,15
-|Δf0|,Thai,0.694859503431147,0.00937393020880645,0.676475459804404,0.713243547057889,common language effect size,15
Spectral centroid,Thai,0.492266237781346,0.00589164199745923,0.480716595176174,0.503815880386519,common language effect size,15
f0,Spanish,0.754006861608129,0.00954583995462108,0.735287951905588,0.77272577131067,common language effect size,16
-|Δf0|,Spanish,0.685451872100729,0.0106524272146166,0.66456309475392,0.706340649447538,common language effect size,16
Spectral centroid,Spanish,0.613078515038991,0.00639392096455634,0.600544427154308,0.625612602923673,common language effect size,16
f0,Balinese,0.96943223986271,0.003077581884038,0.963395307576842,0.975469172148577,common language effect size,17
-|Δf0|,Balinese,0.690675400055707,0.0120717277018735,0.666992336226548,0.714358463884866,common language effect size,17
Spectral centroid,Balinese,0.589926093795717,0.0071242360823248,0.575959371751886,0.603892815839549,common language effect size,17
f0,Chilean,0.638026564507427,0.0142361912968479,0.610085479366597,0.665967649648257,common language effect size,18
-|Δf0|,Chilean,0.778565384630313,0.011127286756738,0.756730206509892,0.800400562750734,common language effect size,18
Spectral centroid,Chilean,0.41971158301924,0.00721716493190016,0.405562184741809,0.43386098129667,common language effect size,18
f0,English,0.922991102426877,0.00493984732167883,0.913305293954457,0.932676910899296,common language effect size,19
-|Δf0|,English,0.458685459049052,0.009987592490631,0.439102782354462,0.478268135743643,common language effect size,19
Spectral centroid,English,0.65973715880436,0.00501179101869331,0.649913207430031,0.669561110178689,common language effect size,19
f0,Wolof,0.953041335146111,0.00459756051526965,0.944023775372174,0.962058894920049,common language effect size,20
-|Δf0|,Wolof,0.703215283428725,0.00900959656647164,0.685549965906834,0.720880600950615,common language effect size,20
Spectral centroid,Wolof,0.834981118468997,0.00438906497058326,0.826377647788009,0.843584589149986,common language effect size,20
f0,Hebrew,0.944472201112106,0.00363027896700674,0.937354114077237,0.951590288146975,common language effect size,21
-|Δf0|,Hebrew,0.687788654712907,0.00924047284190444,0.669670829160475,0.705906480265338,common language effect size,21
Spectral centroid,Hebrew,0.511453441561774,0.00586671007648071,0.499953498040102,0.522953385083446,common language effect size,21
f0,Catalan,0.686917078171793,0.00866655161587953,0.669924316062031,0.703909840281556,common language effect size,22
-|Δf0|,Catalan,0.634550884302721,0.00887262481339053,0.617155200048069,0.651946568557372,common language effect size,22
Spectral centroid,Catalan,0.253085180751093,0.00461989380233142,0.244029233101525,0.262141128400661,common language effect size,22
f0,Portuguese,0.660769850304734,0.0111225129547152,0.638958560621072,0.682581139988396,common language effect size,23
-|Δf0|,Portuguese,0.728926112647043,0.0103083446390537,0.708711317891888,0.749140907402197,common language effect size,23
Spectral centroid,Portuguese,0.412557025234451,0.00637524856270627,0.400059673714515,0.425054376754387,common language effect size,23
f0,Amamidialect,0.946290258414917,0.00498433655369691,0.936513417331801,0.956067099498033,common language effect size,24
-|Δf0|,Amamidialect,0.535533780745148,0.0123715921300162,0.511271403930002,0.559796157560295,common language effect size,24
Spectral centroid,Amamidialect,0.792057207199036,0.00580899378121661,0.780669386902739,0.803445027495332,common language effect size,24
f0,Swahili,0.455314242593828,0.0118256035168602,0.432117913926394,0.478510571261262,common language effect size,25
-|Δf0|,Swahili,0.695545177938887,0.0105322722364119,0.674886608133559,0.716203747744215,common language effect size,25
Spectral centroid,Swahili,0.339956730492784,0.00566638370770058,0.328849233786333,0.351064227199234,common language effect size,25
f0,Dutch,0.812993621857863,0.00982988628779567,0.793712035168008,0.832275208547718,common language effect size,26
-|Δf0|,Dutch,0.682969440139047,0.0111789934329004,0.661046147582871,0.704892732695223,common language effect size,26
