feature,lang,diff,stderr,ci95_l,ci95_u,method
f0,English,0.999794153972828,0.000291110243386804,NaN,NaN,common language effect size
-|Δf0|,English,0.999794153972828,0.000291110243386804,NaN,NaN,common language effect size
Spectral centroid,English,0.99975024975025,0.000353200190402871,NaN,NaN,common language effect size
f0,Macedonian,0.9999999414131,8.28543890770756e-08,0.99999977898703,1.00000010383917,common language effect size
-|Δf0|,Macedonian,0.648101415330622,0.00712883873719791,0.634125991093249,0.662076839567994,common language effect size
Spectral centroid,Macedonian,0.685052460027485,0.00996643568347962,0.665507028045167,0.704597892009803,common language effect size
f0,Italian,0.997138138090769,0.00036738343439118,0.996417855941308,0.99785842024023,common language effect size
-|Δf0|,Italian,0.96543931877394,0.00255085925106103,0.960437638560258,0.970440998987623,common language effect size
Spectral centroid,Italian,0.578624173029767,0.00980574356720777,0.559395544796718,0.597852801262817,common language effect size
f0,Portuguese,0.999791753436068,0.000294505115029799,NaN,NaN,common language effect size
-|Δf0|,Portuguese,0.999791753436068,0.000294505115029799,NaN,NaN,common language effect size
Spectral centroid,Portuguese,0.99975024975025,0.000353200190402871,NaN,NaN,common language effect size
f0,English,0.922774173205503,0.00378100195334459,0.91536082306902,0.930187523341985,common language effect size
-|Δf0|,English,0.937257495536627,0.00323039739978202,0.930924145464346,0.943590845608909,common language effect size
Spectral centroid,English,0.476568636159046,0.00945268881723737,0.45803426820393,0.495103004114162,common language effect size
f0,Ronga,0.999798630688683,0.000284779211110168,NaN,NaN,common language effect size
-|Δf0|,Ronga,0.999798630688683,0.000284779211110168,NaN,NaN,common language effect size
Spectral centroid,Ronga,0.99975,0.000353553390593274,NaN,NaN,common language effect size
f0,Swedish,0.999999920870926,1.11905409293005e-07,0.9999997014855,1.00000014025635,common language effect size
-|Δf0|,Swedish,0.823912331316597,0.0055864358027639,0.812960577049986,0.834864085583208,common language effect size
Spectral centroid,Swedish,0.787073540270471,0.00845387794084463,0.770494515505573,0.80365256503537,common language effect size
f0,Hindi,0.0384780453991862,0.00323343630153735,0.0321381892606599,0.0448179015377125,common language effect size
-|Δf0|,Hindi,0.947873694643829,0.00362532799488658,0.940764879385561,0.954982509902097,common language effect size
Spectral centroid,Hindi,0.4050587274863,0.00997524567724741,0.385497552472259,0.424619902500341,common language effect size
f0,Bulgarian,0.999757516973812,0.000342922784280576,NaN,NaN,common language effect size
-|Δf0|,Bulgarian,0.999757516973812,0.000342922784280576,NaN,NaN,common language effect size
Spectral centroid,Bulgarian,0.999750124937531,0.000353376702242153,NaN,NaN,common language effect size
f0,Greek,0.999776085982983,0.000316662239671539,NaN,NaN,common language effect size
-|Δf0|,Greek,0.999776085982983,0.000316662239671539,NaN,NaN,common language effect size
Spectral centroid,Greek,0.99975024975025,0.000353200190402871,NaN,NaN,common language effect size
f0,Mandarin,0.99981604120677,0.000260157020304101,NaN,NaN,common language effect size
-|Δf0|,Mandarin,0.99981604120677,0.000260157020304101,NaN,NaN,common language effect size
Spectral centroid,Mandarin,0.99975024975025,0.000353200190402871,NaN,NaN,common language effect size
f0,German,0.997268771445258,0.00039050101135342,0.996503003806565,0.998034539083952,common language effect size
-|Δf0|,German,0.95308659625727,0.00293508599138165,0.947331135460628,0.958842057053912,common language effect size
Spectral centroid,German,0.583991183641533,0.0104853438214745,0.563428196603883,0.604554170679183,common language effect size
f0,Yoruba,0.98961143092747,0.000835333069456744,0.987973844592365,0.991249017262575,common language effect size
-|Δf0|,Yoruba,0.942558864735391,0.00363274733673377,0.935435472008873,0.94968225746191,common language effect size
Spectral centroid,Yoruba,0.597855690762784,0.00910096643732508,0.580011753819234,0.615699627706334,common language effect size
f0,Japanese,0.999999922929315,1.08994408088129e-07,0.999999709253153,1.00000013660548,common language effect size
-|Δf0|,Japanese,0.825361064598953,0.00591766555781478,0.813759277135575,0.83696285206233,common language effect size
Spectral centroid,Japanese,0.740557257603083,0.00889688304709326,0.723109753360058,0.758004761846108,common language effect size
f0,Thai,0.999999937490999,8.84010774034645e-08,0.999999764190138,1.00000011079186,common language effect size
-|Δf0|,Thai,0.737466445168104,0.00661921240408893,0.724490156876713,0.750442733459495,common language effect size
Spectral centroid,Thai,0.712586940122411,0.00901823927584958,0.694902289846578,0.730271590398243,common language effect size
f0,Spanish,0.999762018086625,0.000336557249493835,NaN,NaN,common language effect size
-|Δf0|,Spanish,0.999762018086625,0.000336557249493835,NaN,NaN,common language effect size
Spectral centroid,Spanish,0.99975,0.000353553390593274,NaN,NaN,common language effect size
f0,Balinese,0.999999928481571,1.01142332571645e-07,0.999999730197662,1.00000012676548,common language effect size
