feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
f0,English,0.99978595890411,0.000302699820713419,NaN,NaN,common language effect size,1
-|Δf0|,English,0.99978595890411,0.000302699820713419,NaN,NaN,common language effect size,1
Spectral centroid,English,0.99975024975025,0.000353200190402871,NaN,NaN,common language effect size,1
f0,Macedonian,0.999999905836765,1.33166924520737e-07,0.999999644758603,1.00000016691493,common language effect size,2
-|Δf0|,Macedonian,0.648510676604278,0.00824730764345239,0.632339599876653,0.664681753331903,common language effect size,2
Spectral centroid,Macedonian,0.543235856845324,0.0125575346879588,0.518604003475676,0.567867710214973,common language effect size,2
f0,Italian,0.999999003597917,9.14579179134486e-07,0.999997210379669,1.00000079681617,common language effect size,3
-|Δf0|,Italian,0.977143985535865,0.00253513110151722,0.972172025278777,0.982115945792953,common language effect size,3
Spectral centroid,Italian,0.594709985319376,0.00975138951436456,0.575587990943259,0.613831979695493,common language effect size,3
f0,Portuguese,0.99976370510397,0.000334171446685514,NaN,NaN,common language effect size,4
-|Δf0|,Portuguese,0.99976370510397,0.000334171446685514,NaN,NaN,common language effect size,4
Spectral centroid,Portuguese,0.99974293059126,0.00036355104431185,NaN,NaN,common language effect size,4
f0,English,0.907661657689738,0.00378378314361007,0.90024336207818,0.915079953301296,common language effect size,5
-|Δf0|,English,0.890276849739031,0.00483657152777591,0.880793276662538,0.899760422815525,common language effect size,5
Spectral centroid,English,0.569113952980087,0.00936780533203852,0.550745609234219,0.587482296725955,common language effect size,5
f0,Ronga,0.999751243781094,0.00035179441850077,NaN,NaN,common language effect size,6
-|Δf0|,Ronga,0.999751243781094,0.00035179441850077,NaN,NaN,common language effect size,6
Spectral centroid,Ronga,0.99975,0.000353553390593274,NaN,NaN,common language effect size,6
f0,Swedish,0.999999911507087,1.25147877176536e-07,0.999999666155802,1.00000015685837,common language effect size,7
-|Δf0|,Swedish,0.858090464534695,0.00508574620341279,0.848120121163429,0.868060807905962,common language effect size,7
Spectral centroid,Swedish,0.787118226428916,0.00818271377611139,0.771071481234185,0.803164971623646,common language effect size,7
f0,Hindi,0.0552924558127222,0.00350482290913513,0.0484207457763042,0.0621641658491403,common language effect size,8
-|Δf0|,Hindi,0.939503132076581,0.00394087620705677,0.931775328014312,0.947230936138851,common language effect size,8
Spectral centroid,Hindi,0.460363313010666,0.0103346731790694,0.440096753409391,0.480629872611941,common language effect size,8
f0,Bulgarian,0.999765368371657,0.000331819230965062,NaN,NaN,common language effect size,9
-|Δf0|,Bulgarian,0.999765368371657,0.000331819230965062,NaN,NaN,common language effect size,9
Spectral centroid,Bulgarian,0.999750124937531,0.000353376702242153,NaN,NaN,common language effect size,9
f0,Greek,0.999794745484401,0.000290273719698911,NaN,NaN,common language effect size,10
-|Δf0|,Greek,0.999794745484401,0.000290273719698911,NaN,NaN,common language effect size,10
Spectral centroid,Greek,0.99975024975025,0.000353200190402871,NaN,NaN,common language effect size,10
f0,Mandarin,0.999780026396832,0.000311089652963725,NaN,NaN,common language effect size,11
-|Δf0|,Mandarin,0.999780026396832,0.000311089652963725,NaN,NaN,common language effect size,11
Spectral centroid,Mandarin,0.99975024975025,0.000353200190402871,NaN,NaN,common language effect size,11
f0,German,0.999999890987049,1.54167593717136e-07,0.9999995887321,1.000000193242,common language effect size,12
-|Δf0|,German,0.955200037674876,0.00316212187822181,0.948998387032792,0.96140168831696,common language effect size,12
Spectral centroid,German,0.468053674597131,0.0104516959444432,0.447556970385614,0.488550378808648,common language effect size,12
f0,Yoruba,0.981781027956216,0.00130109648904705,0.979230287902906,0.984331768009527,common language effect size,13
-|Δf0|,Yoruba,0.948619249451592,0.00330793704990912,0.942132893107413,0.955105605795771,common language effect size,13
Spectral centroid,Yoruba,0.646139574711003,0.00866521193875941,0.629150921065636,0.663128228356371,common language effect size,13
f0,Japanese,0.999999661916595,4.78122136813258e-07,0.999998724172156,1.00000059966103,common language effect size,14
-|Δf0|,Japanese,0.888604222661731,0.00888105983353795,0.871163944007969,0.906044501315492,common language effect size,14
Spectral centroid,Japanese,0.834954112029058,0.0132392424896856,0.808956088227244,0.860952135830871,common language effect size,14
f0,Thai,0.999999925548883,1.05289778812664e-07,0.999999719134307,1.00000013196346,common language effect size,15
-|Δf0|,Thai,0.693430403691822,0.00748251917611901,0.678760371771237,0.708100435612408,common language effect size,15
Spectral centroid,Thai,0.671781856957059,0.00939224289809221,0.653363852931828,0.69019986098229,common language effect size,15
f0,Spanish,0.999686126804771,0.00044388372955841,NaN,NaN,common language effect size,16
-|Δf0|,Spanish,0.999686126804771,0.00044388372955841,NaN,NaN,common language effect size,16
Spectral centroid,Spanish,0.99975024975025,0.000353200190402871,NaN,NaN,common language effect size,16
f0,Balinese,0.999999926381651,1.04112067915364e-07,0.999999722274746,1.00000013048856,common language effect size,17
-|Δf0|,Balinese,0.78580240687831,0.00654552166111895,0.772969926588772,0.798634887167847,common language effect size,17
Spectral centroid,Balinese,0.71726580487867,0.00879683613412361,0.700015328559632,0.734516281197708,common language effect size,17
f0,Chilean,0.732339683901116,0.0101431194890208,0.712443969190193,0.752235398612039,common language effect size,18
-|Δf0|,Chilean,0.951848503915876,0.00327447986720656,0.945426991769052,0.9582700160627,common language effect size,18
Spectral centroid,Chilean,0.563911113861164,0.00990276743661273,0.544492158093204,0.583330069629124,common language effect size,18
f0,English,0.999999916092248,1.18663480608759e-07,0.999999683457269,1.00000014872723,common language effect size,19
-|Δf0|,English,0.914884983449196,0.00466749445173061,0.905733349325321,0.924036617573071,common language effect size,19
Spectral centroid,English,0.829449272006715,0.00739097942673843,0.814958543272045,0.843940000741384,common language effect size,19
f0,Wolof,0.99955595026643,0.00062798115558308,NaN,NaN,common language effect size,20
-|Δf0|,Wolof,0.99955595026643,0.00062798115558308,NaN,NaN,common language effect size,20
Spectral centroid,Wolof,0.999750124937531,0.000353376702242153,NaN,NaN,common language effect size,20
f0,Hebrew,0.999771271729186,0.000323470622683691,NaN,NaN,common language effect size,21
-|Δf0|,Hebrew,0.999771271729186,0.000323470622683691,NaN,NaN,common language effect size,21
Spectral centroid,Hebrew,0.999749874937469,0.000353730255721134,NaN,NaN,common language effect size,21
f0,Catalan,0.999999906046173,1.32870776317274e-07,0.999999645551861,1.00000016654048,common language effect size,22
-|Δf0|,Catalan,0.962746180166234,0.0029474075610289,0.956967138486912,0.968525221845556,common language effect size,22
Spectral centroid,Catalan,0.741128002866265,0.00911371853169144,0.723255770958552,0.759000234773977,common language effect size,22
