feature,lang,diff,stderr,ci95_l,ci95_u,method
IOI rate,English,0.822259644825474,0.0390461374215086,0.744710907592635,0.899808382058314,common language effect size
IOI rate,Macedonian,0.889795918367347,0.0433519458878978,0.802844372314101,0.976747464420593,common language effect size
IOI rate,Italian,0.813464837049743,0.043810737163186,0.726484780484946,0.900444893614539,common language effect size
IOI rate,Portuguese,0.901823708206687,0.0302890311332728,0.841530090943656,0.962117325469717,common language effect size
IOI rate,English,0.952777777777778,0.0316345159159078,0.88866577660623,1.01688977894933,common language effect size
IOI rate,Ronga,0.740224159402241,0.0432058745097507,0.654714392548774,0.825733926255709,common language effect size
IOI rate,Swedish,0.735365853658537,0.0596660610263785,0.61611215615855,0.854619551158524,common language effect size
IOI rate,Hindi,0.871458773784355,0.0422203968526486,0.787300352061898,0.955617195506812,common language effect size
IOI rate,Bulgarian,0.729268292682927,0.0532400744717988,0.623353402382945,0.835183182982908,common language effect size
IOI rate,Greek,0.982888888888889,0.0100749807722295,0.962675820262202,1.00310195751558,common language effect size
IOI rate,Mandarin,0.916666666666667,0.0394620770801959,0.837132282266875,0.996201051066458,common language effect size
IOI rate,German,0.8561872909699,0.0418504895386431,0.772899918407935,0.939474663531864,common language effect size
IOI rate,Yoruba,0.657004830917875,0.0574635030538872,0.542781405282652,0.771228256553097,common language effect size
IOI rate,Japanese,0.928333333333333,0.036579531288635,0.854747807682695,1.00191885898397,common language effect size
IOI rate,Thai,0.64,0.109633703176443,0.408336976900843,0.871663023099158,common language effect size
IOI rate,Spanish,0.894771241830065,0.0349845710766374,0.824752782308391,0.964789701351739,common language effect size
IOI rate,Balinese,0.682017543859649,0.0823493805785105,0.515590109013244,0.848444978706054,common language effect size
IOI rate,Chilean,0.683333333333333,0.0746012220331248,0.533613424499442,0.833053242167225,common language effect size
IOI rate,English,0.758829365079365,0.0404487470515422,0.678765295389324,0.838893434769406,common language effect size
IOI rate,Wolof,0.709090909090909,0.0662601534443128,0.57517655649079,0.843005261691028,common language effect size
IOI rate,Hebrew,0.88,0.0306224019781873,0.819314408741674,0.940685591258325,common language effect size
IOI rate,Catalan,0.994261867501304,0.00485225777736345,0.984484993652974,1.00403874134963,common language effect size
IOI rate,Portuguese,0.90634110787172,0.0360824151800301,0.834135930197818,0.978546285545622,common language effect size
IOI rate,Amamidialect,0.741964285714286,0.0616110713720674,0.618645725764315,0.865282845664256,common language effect size
IOI rate,Swahili,0.928421052631579,0.0267847110278339,0.875092652849305,0.981749452413853,common language effect size
IOI rate,Dutch,0.652976190476191,0.0619885809847731,0.529303515995281,0.7766488649571,common language effect size
IOI rate,Spanish,0.732922732362822,0.046636783122502,0.64036356042987,0.825481904295774,common language effect size
IOI rate,Punjabi,0.832580387988307,0.0413111005617448,0.750103511802783,0.915057264173831,common language effect size
IOI rate,HainanHua,0.984126984126984,0.0165916117479954,0.949537805369769,1.0187161628842,common language effect size
IOI rate,Williche,0.713942307692308,0.0686488079577212,0.575518265782643,0.852366349601972,common language effect size
IOI rate,Euskara,0.889928698752228,0.0463661847153953,0.793691658874088,0.986165738630367,common language effect size
IOI rate,Danish,0.852678571428571,0.039033615413908,0.774775649231346,0.930581493625797,common language effect size
IOI rate,Hebrew,0.936698717948718,0.0279920961977255,0.880282932376707,0.993114503520729,common language effect size
IOI rate,IsiXhosa,0.552283653846154,0.0581401349723689,0.436889987284298,0.66767732040801,common language effect size
IOI rate,Turkish,0.826231060606061,0.0506860079252928,0.724424481102462,0.928037640109659,common language effect size
IOI rate,Ukrainian,0.975931677018634,0.0130960223116711,0.949824869621825,1.00203848441544,common language effect size
IOI rate,Marathi,0.631410256410256,0.0581815353858187,0.51565326903018,0.747167243790333,common language effect size
IOI rate,English,0.915200391006843,0.0326450037456865,0.849657339967307,0.980743442046378,common language effect size
IOI rate,French,0.93815987933635,0.0288837415929149,0.880365623992432,0.995954134680268,common language effect size
IOI rate,English,0.95014880952381,0.0222381240866021,0.905837736627953,0.994459882419666,common language effect size
IOI rate,Azerbaijani,0.856737012987013,0.0499730963992255,0.755779215696375,0.957694810277651,common language effect size
IOI rate,Russian,0.946843853820598,0.0309065441374126,0.883477797403968,1.01020991023723,common language effect size
IOI rate,Urdu,0.874384236453202,0.0469525153195856,0.780025473415683,0.96874299949072,common language effect size
IOI rate,Lithuanian,0.82848568790397,0.0446421843402802,0.739042529580768,0.917928846227173,common language effect size
IOI rate,Korean,0.84241452991453,0.040338112280003,0.762195138764083,0.922633921064977,common language effect size
IOI rate,Farsi,0.961267605633803,0.0190862148579467,0.92335173646707,0.999183474800535,common language effect size
IOI rate,Persian,0.942513368983957,0.0369519786959053,0.867139606799385,1.01788713116853,common language effect size
IOI rate,Kannada,0.667216981132076,0.0583966704438781,0.550724831030929,0.783709131233222,common language effect size
IOI rate,Japanese,0.74256993006993,0.0514641675565135,0.640386290179939,0.844753569959921,common language effect size
IOI rate,English,0.669069935111752,0.0502181789337229,0.569536127841752,0.768603742381752,common language effect size
IOI rate,Georgian,1,0,NaN,NaN,common language effect size
