"dataid","type","icc","pvalue","N","mu_dlt","sgm_dlt"
"Javier_SilvaZurita_Chilean_Traditional_Song_20221009","desc",0.999982331143675,9.75801170280884e-62,28,0.0106252025357143,0.0145328193547727
"Javier_SilvaZurita_Chilean_Traditional_Song_20221009","song",0.99990067274614,7.15688597512285e-21,11,0.0213729129090909,0.0283649788366435
"Adam_Tierney_English_Traditional_SimpleGifts_20230129","desc",0.999984601726172,4.52675977599255e-26,35,0.00970262397142856,0.0129976559056104
"Adam_Tierney_English_Traditional_SimpleGifts_20230129","song",0.999929905150455,3.78790601959507e-30,24,0.0178382464583335,0.0292732513663974
"Jehoshaphat_Philip Sarbah_Twi_Traditional_daa na se_20230327","desc",0.999554287704249,1.18848483668963e-05,27,0.0584074074074075,0.0417629340585608
"Jehoshaphat_Philip Sarbah_Twi_Traditional_daa na se_20230327","song",0.99952314971315,0.000852515280306306,13,0.0695192307692307,0.0278820423216032
"Manuel_Anglada-Tort_Catalan_Traditional_LaPresódeLleida_20221108","desc",0.999968840038292,1.22900357581824e-12,52,0.0153357753461538,0.0161209791254124
"Manuel_Anglada-Tort_Catalan_Traditional_LaPresódeLleida_20221108","song",0.999907603694843,1.49485386198356e-14,14,0.0339747327857144,0.0348934760100343
"Minyu_Zeng_HainanHua_Traditional_The Song of the Five-Fingers Mountain_20221009","desc",0.999981465411313,5.26563924617924e-18,38,0.0134622270526316,0.0140788609277228
"Minyu_Zeng_HainanHua_Traditional_The Song of the Five-Fingers Mountain_20221009","song",0.999895201229879,4.45408483607224e-18,10,0.0348843535999999,0.0418823156864956
"Shantala_Hegde_Kannada_Traditional_Moodala Maneya_20220214","desc",0.999808469545678,0.000753927418721511,37,0.050063063108108,0.0153603049558168
"Shantala_Hegde_Kannada_Traditional_Moodala Maneya_20220214","song",0.99965763827386,2.27508598499477e-05,23,0.0712173913913043,0.0423569761511214
"VanessaNina_Borsan_Slovenian_Traditional_EnHribčekBomKupil_20221027","desc",0.999857875764249,1.94207643255852e-23,38,0.0227192982631579,0.0343490359278582
"VanessaNina_Borsan_Slovenian_Traditional_EnHribčekBomKupil_20221027","song",0.999754021653423,7.32663368112606e-37,22,0.0337727272727273,0.0556999475957388
"Wojciech_Krzyżanowski_Polish_Traditional_Wlazł Kotek Na Płotek_20221022","desc",0.999965659563564,1.81554967601987e-60,29,0.0160888263793103,0.020203928098582
"Wojciech_Krzyżanowski_Polish_Traditional_Wlazł Kotek Na Płotek_20221022","song",0.999933547232298,1.0170301782882e-29,15,0.0257596372666666,0.0296863320761131
