feature,lang,diff,stderr,method
f0,Marathi,0.938579365079365,0.00931173293455914,common language effect size
-|Δf0|,Marathi,0.542964285714286,0.0179816066622419,common language effect size
Spectral centroid,Marathi,0.501618007419369,0.009263954833981,common language effect size
f0,Farsi,0.95442963506392,0.00404328646678331,common language effect size
-|Δf0|,Farsi,0.642018800199019,0.0109106546634994,common language effect size
Spectral centroid,Farsi,0.544923467451914,0.00665840970844383,common language effect size
f0,Japanese,0.925804163601044,0.00559896300057435,common language effect size
-|Δf0|,Japanese,0.537385072225192,0.00990893711261429,common language effect size
Spectral centroid,Japanese,0.515890228086932,0.00540213778866832,common language effect size
f0,Yoruba,0.971627490074463,0.00641704445320281,common language effect size
-|Δf0|,Yoruba,0.744212896866286,0.0137738878587618,common language effect size
Spectral centroid,Yoruba,0.484722687702954,0.00950527803235751,common language effect size
f0,English,0.904655033085824,0.00542402003426822,common language effect size
-|Δf0|,English,0.630674102973419,0.00937763328121629,common language effect size
Spectral centroid,English,0.516234042704465,0.00529085982349025,common language effect size
